Model,ROUGE Score,Summary Length,Inference Time (sec),Weighted ROUGE,Weighted Length,Weighted Time,Positive Separation,Negative Separation,Closeness,Rank
PEGASUS,1.0000,0.5455,0.8000,0.4000,0.1636,0.2400,0.1490,0.4943,0.7684,1.0000
LongT5,0.0000,1.0000,1.0000,0.0000,0.3000,0.3000,0.4000,0.4243,0.5147,2.0000
mT5,0.4286,0.1818,0.6000,0.1714,0.0545,0.1800,0.3562,0.2545,0.4167,3.0000
BART,0.5714,0.3182,0.0000,0.2286,0.0955,0.0000,0.4015,0.2477,0.3815,4.0000
LED,0.1429,0.7727,0.2000,0.0571,0.2318,0.0600,0.4240,0.2462,0.3673,5.0000
T5,0.2857,0.0000,0.4000,0.1143,0.0000,0.1200,0.4517,0.1657,0.2684,6.0000
